case_type,interpretation_hint,userID,user_level,profile_size,holdout_animeID,heldout_title,heldout_catalog_score,popularity_baseline_rank,metadata_content_rank,graph_related_rank,people_staff_affinity_rank,latent_svd_rank,full_product_hybrid_rank,tuned_product_hybrid_rank,level_tuned_product_hybrid_rank,level_tuned_product_hybrid_rank,metadata_content_holdout_model_score,graph_related_holdout_model_score,people_staff_affinity_holdout_model_score,latent_svd_holdout_model_score,full_product_hybrid_holdout_model_score,tuned_product_hybrid_holdout_model_score,level_tuned_product_hybrid_holdout_model_score,level_tuned_product_hybrid_holdout_model_score,top1_animeID,top1_title,top12_titles,candidate_pool_size
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,307981654,Casual,111,1120,Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios,7.18,14,3,5,2,1,1,1,1,1,6281.4267578125,4.884906768798828,5534.716796875,0.41802453994750977,0.8677347898483276,0.7813426852226257,0.8127914071083069,0.8127914071083069,1120,Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios,Pokemon Movie 05: Mizu no Miyako no Mamorigami Latias to Latios | Magi: The Labyrinth of Magic | Uramichi Oniisan | Suzuka | Hoshi wo Ou Kodomo | Umi ga Kikoeru | Hoozuki no Reitetsu | Aa! Megami-sama! Sorezore no Tsubasa | Build Divide: Code Black | Koukaku Kidoutai: Stand Alone Complex 2nd GIG | Idaten Jump | Little Witch Academia,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,317256286,Casual,53,37985,Aggressive Retsuko (ONA) 2nd Season,7.72,18,7,3,46,4,2,1,1,1,3696.6123046875,13.3862943649292,467.0278625488281,0.10331577062606812,0.7095329761505127,0.739140510559082,0.7507973909378052,0.7507973909378052,37985,Aggressive Retsuko (ONA) 2nd Season,Aggressive Retsuko (ONA) 2nd Season | K-On! | Nichijou | Pokemon Movie 06: Nanayo no Negaiboshi Jirachi | Saiki Kusuo no Ψ-nan: Kanketsu-hen | Akame ga Kill! | Dragon Ball Z | Baki: Dai Raitaisai-hen | High Score Girl II | K-On!: Live House! | Uzaki-chan wa Asobitai! | Sennen Joyuu,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,2139357796,Fan,169,9917,Pokemon Movie 14 White: Victini to Kuroki Eiyuu Zekrom,6.67,21,19,5,1,1,1,1,1,1,6599.81298828125,5.786294460296631,10767.04296875,0.3622676432132721,0.7687455415725708,0.6895772218704224,0.7647588849067688,0.7647588849067688,9917,Pokemon Movie 14 White: Victini to Kuroki Eiyuu Zekrom,Pokemon Movie 14 White: Victini to Kuroki Eiyuu Zekrom | 3-gatsu no Lion | Saihate no Paladin | Pokemon: Pikachu no Fuyuyasumi (2001) | Digimon Adventure tri. 5: Kyousei | Boku no Kokoro no Yabai Yatsu | Tottoko Hamtarou | Suzumiya Haruhi no Yuuutsu (2009) | IDOLiSH7 | Koro-sensei Quest! | Seto no Hanayome OVA | Chihayafuru 2,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,23496123,Fan,168,1709,Pokemon: Mewtwo! Ware wa Koko ni Ari,7.09,23,20,9,7,1,1,1,1,1,7860.92626953125,6.400000095367432,6064.681640625,0.2959228754043579,0.727742075920105,0.6518045663833618,0.7141903638839722,0.7141903638839722,1709,Pokemon: Mewtwo! Ware wa Koko ni Ari,Pokemon: Mewtwo! Ware wa Koko ni Ari | Stranger: Mukou Hadan | Black Bullet | Dororo | Pokemon Movie 17: Hakai no Mayu to Diancie | Digimon Frontier | Kimetsu no Yaiba | Denpa Onna to Seishun Otoko | Inferno Cop | Rockman.EXE | Witchblade | Murder Princess,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,29474180,Fan,284,894,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,6.63,23,21,7,8,1,2,2,1,1,10766.5849609375,8.663397789001465,8120.41162109375,0.3930929899215698,0.7656515836715698,0.7566412687301636,0.8058605790138245,0.8058605790138245,894,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!! | Inuyashiki | Tokyo Revengers: Tenjiku-hen | Plastic Memories | Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou | Tondemo Skill de Isekai Hourou Meshi | Shokugeki no Souma | Tongari Boushi no Atelier | Suzumiya Haruhi no Yuuutsu | Meitantei Conan Movie 13: Shikkoku no Chaser | Radiant | Street Fighter II V,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,33140490,Casual,85,42603,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,7.17,13,25,3,1,1,2,1,1,1,3595.482666015625,6.425351619720459,10511.9638671875,0.14762672781944275,0.8079970479011536,0.7647379636764526,0.829902172088623,0.829902172088623,42603,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren,Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren | Gekkan Shoujo Nozaki-kun | Beastars 2nd Season | Haibane Renmei | Bakuten!! | Code Geass: Fukkatsu no Lelouch | Kakegurui Picture Drama | Juubee Ninpuuchou | Love Live! The School Idol Movie | Bishoujo Senshi Sailor Moon Eternal Movie 1 | Hetalia Axis Powers | Black Blood Brothers,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,33696600,Fan,317,36726,Yuragi-sou no Yuuna-san,6.97,13,10,3,17,3,3,1,1,1,16190.5888671875,18.21875,5329.49365234375,0.3097054064273834,0.6566716432571411,0.686976432800293,0.7075568437576294,0.7075568437576294,36726,Yuragi-sou no Yuuna-san,Yuragi-sou no Yuuna-san | Ore no Imouto ga Konnani Kawaii Wake ga Nai. | Kami nomi zo Shiru Sekai II | Shinsekai yori | Quanzhi Gaoshou | Mieruko-chan | Kotoura-san | Naruto | Machikado Mazoku: 2-choume | Nakitai Watashi wa Neko wo Kaburu | Hitsugi no Chaika: Nerawareta Hitsugi/Yomigaeru Iseki | Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,2096599444,Casual,104,40752,Bishounen Tanteidan,7.06,18,6,1,12,3,2,1,1,1,5903.8583984375,14.065668106079102,1718.1461181640625,0.049560561776161194,0.7711337804794312,0.8637407422065735,0.8675347566604614,0.8675347566604614,40752,Bishounen Tanteidan,Bishounen Tanteidan | Vivy: Fluorite Eye's Song | Bakuman. 2nd Season | Yojouhan Shinwa Taikei | Kizumonogatari II: Nekketsu-hen | Kanon Kazahana | Narutaru: Mukuro Naru Hoshi Tama Taru Ko | Hayate no Gotoku! | Chuubyou Gekihatsu Boy | Nichijou: Original Jikai Yokoku | Goku Sayonara Zetsubou Sensei | Ryuugajou Nanana no Maizoukin,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,1801605118,Casual,127,53879,Kamonohashi Ron no Kindan Suiri,7.51,15,12,1,14,1,1,1,1,1,6392.3486328125,17.49481964111328,2968.62060546875,0.23898831009864807,0.8258516788482666,0.9250425100326538,0.9441196918487549,0.9441196918487549,53879,Kamonohashi Ron no Kindan Suiri,Kamonohashi Ron no Kindan Suiri | Doukyuusei | Somali to Mori no Kamisama | Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen | Kanojo ga Koushaku-tei ni Itta Riyuu | Dead Mount Death Play | Gankutsuou | Phantom: Requiem for the Phantom | Arknights: Prelude to Dawn | Kuroko no Basket 2nd Season NG-shuu | Ginga Eiyuu Densetsu | Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,1811424644,Casual,91,780,Meitantei Conan Movie 02: 14-banme no Target,7.88,21,22,2,5,1,1,1,1,1,3380.818359375,8.468425750732422,3885.776123046875,0.18698525428771973,0.8082306385040283,0.9071487188339233,0.9428900480270386,0.9428900480270386,780,Meitantei Conan Movie 02: 14-banme no Target,Meitantei Conan Movie 02: 14-banme no Target | Gokushufudou | Hyouka | Babylon | Meitantei Conan Movie 08: Ginyoku no Time Travel Recap | Eyeshield 21 | Given | Doraemon Movie 25: Nobita no Wan Nyan Jikuuden | Gachiakuta | Doraemon: Kaette Kita Doraemon | Pokemon (2019): Natsuyasumi Chokuzen 1-jikan Special | Ninja to Gokudou,101
